  NIT   NF   F                       GTG
  347 5181  2.405035278054105E-02   6.40745565E-01
  348 5205  2.393528874368231E-02   4.70259282E-01
  349 5239  2.372552620498404E-02   7.43071125E-01
  350 5265  2.354065586460933E-02   3.10275543E+00
  351 5276  2.348377179404209E-02   3.25522499E+00
  352 5287  2.342174180416006E-02   8.14407834E-01
  353 5319  2.315963281027326E-02   8.51537331E-01
  354 5322  2.314820414513373E-02   1.02720386E+00
  355 5333  2.310873482328311E-02   4.78273995E-01
  356 5342  2.307868285716898E-02   4.13767879E-01
  357 5353  2.304468598247685E-02   4.32019681E-01
  358 5377  2.300164715308842E-02   5.48310982E-01
  359 5401  2.292568120181772E-02   6.13091439E-01
  360 5433  2.271484970264773E-02   8.94601131E-01
  361 5469  2.233890896453882E-02   1.04392138E+01
  362 5472  2.230138931133008E-02   2.19947690E-01
  363 5490  2.217541826367822E-02   6.81939603E-01
  364 5508  2.210015711352816E-02   9.39078424E-01
  365 5534  2.201752578316363E-02   2.87312185E-01
  366 5544  2.199867027662439E-02   1.06458879E+00
  367 5561  2.193317754715554E-02   9.14319523E-02
  368 5593  2.172998079996912E-02   6.88412963E-01
  369 5617  2.161286217594699E-02   2.92442332E-01
  370 5640  2.149037963366364E-02   5.74644134E-02
  371 5660  2.143370838876427E-02   4.74008463E-01
  372 5705  2.115564191672793E-02   2.97130097E+00
  373 5708  2.113489701373911E-02   8.56989280E-01
  374 5720  2.109285369100099E-02   1.42571194E+00
  375 5738  2.104747478799138E-02   8.74070008E-01
  376 5748  2.103617620817969E-02   9.54027241E-02
  377 5777  2.098232638842946E-02   2.13342191E-01
  378 5788  2.097250104166604E-02   6.47157121E-02
  379 5799  2.095666481215520E-02   1.40695456E-01
  380 5814  2.093124067593414E-02   1.80252201E-01
  381 5829  2.091139075013428E-02   1.11704856E-01
  382 5848  2.088689066691112E-02   2.51277969E-01
  383 5858  2.087721362290372E-02   1.89582508E-01
  384 5869  2.086643679531168E-02   1.50581089E-01
  385 5880  2.085542656017672E-02   6.18462756E-02
  386 5908  2.080126117145218E-02   9.89109858E-02
  387 5931  2.076731603043433E-02   5.72204375E-02
  388 5960  2.071047107302287E-02   1.19248232E-01
  389 5970  2.069801684818537E-02   6.78816163E-01
  390 5983  2.067228413245616E-02   5.68486488E-02
  391 6002  2.063592281144208E-02   4.39713985E-01
  392 6012  2.062136738242180E-02   2.96645870E-01
  393 6022  2.060546367100983E-02   2.92412221E-02
  394 6032  2.058805279101547E-02   1.20053064E-01
  395 6042  2.057134762955806E-02   2.79694407E-01
  396 6057  2.052683003262402E-02   1.30504449E-01
  397 6070  2.047739144292427E-02   1.45795911E-01
  398 6115  2.017938201918929E-02   1.12538597E+01
  399 6119  2.016348446068505E-02   1.37221223E-01
  400 6132  2.012525915518345E-02   5.76035773E-01
  401 6152  2.008233887286303E-02   4.50052985E-01
  402 6162  2.007328928261952E-02   4.81777660E-01
  403 6171  2.006239369137880E-02   8.18836470E-02
  404 6186  2.004657677721344E-02   8.19188243E-02
  405 6200  2.003515535079943E-02   1.79824739E-02
  406 6212  2.002779217387866E-02   6.11125061E-02
  407 6243  1.999787726656780E-02   1.87853530E-01
  408 6282  1.994100984962836E-02   9.35357963E-02
  409 6314  1.990144226446018E-02   3.72782184E-01
  410 6323  1.989679748813870E-02   1.06377082E-01
  411 6360  1.984824146749456E-02   1.15416531E-01
  412 6371  1.983959087070828E-02   6.83413751E-02
  413 6396  1.980537904264764E-02   3.16234917E-01
  414 6407  1.979431976417835E-02   9.30750216E-02
  415 6424  1.976299278940036E-02   5.90699689E-01
  416 6434  1.975402790003035E-02   3.51407335E-01
  417 6492  1.960853820301273E-02   1.10367736E+00
  418 6502  1.959702076417552E-02   6.81142281E-01
  419 6512  1.958098708666738E-02   8.98738501E-02
  420 6522  1.956135276874927E-02   1.25617511E+00
  421 6541  1.948963219180480E-02   3.31108239E-01
  422 6553  1.946303048549063E-02   2.06079271E-01
  423 6594  1.925569591267561E-02   1.76559408E+00
  424 6620  1.909759189680494E-02   5.09609317E+00
  425 6639  1.886341463610284E-02   1.33829358E+01
  426 6651  1.873552928003462E-02   7.06425962E+00
  427 6663  1.863056097263405E-02   2.02833357E+00
  428 6725  1.793406920929557E-02   9.29182257E+01
  429 6729  1.778315187300190E-02   8.97639404E-01
  430 6763  1.738390337126543E-02   1.55811058E+01
  431 6767  1.733906840473689E-02   4.17533015E-01
  432 6779  1.723278620889246E-02   9.11177374E-01
  433 6799  1.704211520341013E-02   3.81980874E-01
  434 6825  1.679600503452360E-02   1.28504863E+01
  435 6828  1.677212379833453E-02   4.54398612E-01
  436 6840  1.673488630625816E-02   3.20547995E-01
  437 6853  1.668804721335657E-02   9.25009270E-02
  438 6887  1.640823541520724E-02   7.00556316E-01
  439 6921  1.625047339334672E-02   2.13841345E-01
  440 6963  1.608284281195851E-02   1.09574138E+00
  441 6975  1.605410433163659E-02   2.07583916E-01
  442 6998  1.597890284791318E-02   2.19238110E-01
  443 7020  1.593094571683353E-02   1.79103381E-01
  444 7040  1.589721961375004E-02   7.99721190E-02
  445 7061  1.586884973610323E-02   4.66472996E-02
  446 7080  1.584712639174389E-02   2.56282902E-01
  447 7129  1.575040933108829E-02   6.84897890E-01
  448 7153  1.572414930956358E-02   5.71067386E-01
  449 7163  1.571340579391083E-02   5.06333044E-01
  450 7174  1.569881051469864E-02   1.13329954E-01
  451 7206  1.565811586964537E-02   1.52275008E-01
  452 7233  1.562433346302510E-02   4.89976038E-01
  453 7244  1.561562521725014E-02   4.58451130E-01
  454 7255  1.560483015064463E-02   3.75275401E-01
  455 7265  1.559798058201474E-02   2.35783003E-01
  456 7274  1.559273459164245E-02   5.90050252E-03
tnc: fscale = 11.8776
  457 7285  1.559109821742938E-02   9.00958535E-02
  458 7308  1.556060568128709E-02   1.71980195E-01
  459 7330  1.551839964573523E-02   1.20339258E-01
  460 7342  1.550619479835632E-02   5.49327085E-01
  461 7354  1.549341241491926E-02   7.52000783E-02
  462 7367  1.548250594447839E-02   1.12007598E-01
  463 7378  1.547435938051027E-02   2.80098150E-01
  464 7390  1.546566155083479E-02   1.60278149E-01
  465 7402  1.545838024344825E-02   1.02929398E-01
  466 7428  1.542061333437747E-02   1.26431101E-01
  467 7447  1.539325213063292E-02   5.49258355E-01
  468 7463  1.536956881621768E-02   1.57766625E-01
  469 7479  1.534834319828811E-02   9.87085299E-02
  470 7493  1.533359045980567E-02   9.26898275E-02
  471 7523  1.523691231937883E-02   5.53004288E-01
  472 7538  1.519943578059550E-02   3.01469392E-01
  473 7552  1.516663709251396E-02   7.35560206E-02
  474 7564  1.513710273337661E-02   1.77773891E-01
  475 7576  1.510732329269892E-02   2.80282412E-01
  476 7587  1.508541938524088E-02   5.40860331E-01
  477 7597  1.506840946805726E-02   2.84978058E-01
  478 7607  1.504442539498994E-02   1.78935508E-01
  479 7658  1.488092225236903E-02   3.57356945E+00
tnc: fscale = 0.4322
  480 7665  1.485393544824669E-02   3.29854008E-01
  481 7678  1.483508420482158E-02   3.37875055E-01
  482 7693  1.481409558837599E-02   4.07018170E-02
  483 7718  1.471672498751315E-02   1.76382331E-01
  484 7738  1.466078319253771E-02   9.43634966E-02
  485 7755  1.463826110982427E-02   2.44664759E-01
  486 7770  1.462515104672307E-02   1.96515026E-02
  487 7784  1.461583333651312E-02   2.80890227E-02
  488 7796  1.460789083417932E-02   2.84923656E-01
  489 7806  1.460217291786864E-02   2.93582600E-01
  490 7832  1.457150809364437E-02   2.63516120E-02
  491 7849  1.455295805265343E-02   7.78906541E-02
  492 7867  1.452958831601511E-02   5.21526707E-01
  493 7878  1.451902586437564E-02   6.90487176E-02
  494 7889  1.450910113212870E-02   3.27169852E-01
  495 7899  1.450153900001144E-02   5.59656539E-02
  496 7928  1.445513633828461E-02   1.02016118E-01
  497 7943  1.444001957110131E-02   9.76393491E-02
  498 7955  1.442543062713334E-02   1.83202078E-01
  499 7979  1.440335993543358E-02   6.73227043E-02
  500 7990  1.439746873619192E-02   5.58409905E-02
  501 8014  1.437126763778314E-02   1.21242987E-01
  502 8024  1.436481861124216E-02   2.98024355E-01
  503 8040  1.434890668791478E-02   2.50145410E-01
  504 8050  1.433932854642913E-02   9.76965107E-02
  505 8061  1.433176156081523E-02   2.99596908E-01
  506 8085  1.430096063014141E-02   5.41869370E-01
  507 8111  1.425013797424798E-02   1.46552802E-01
  508 8122  1.424026624443823E-02   6.50131244E-01
  509 8139  1.421356347162240E-02   4.39547989E-02
  510 8174  1.411738399554458E-02   6.14136822E-01
  511 8189  1.408927064949691E-02   1.46051594E-01
  512 8203  1.405537871203947E-02   3.18164605E-01
  513 8225  1.398639977181170E-02   6.75403267E-02
  514 8245  1.393598574578436E-02   4.76378873E-01
  515 8263  1.388809309430656E-02   2.35310018E-01
  516 8279  1.383956863216563E-02   1.37814199E-01
  517 8314  1.366824313122636E-02   7.96172681E-01
  518 8329  1.361725687248768E-02   2.18756697E-01
  519 8349  1.351163879598989E-02   4.46639421E-01
  520 8368  1.342853704033093E-02   1.67730769E+00
  521 8380  1.337441757180090E-02   5.24530197E-01
  522 8392  1.333513212231329E-02   7.71523110E-01
  523 8404  1.330200212894300E-02   1.48703100E-01
  524 8426  1.319151003557904E-02   3.92447862E-01
  525 8445  1.307358701613840E-02   2.41572188E-01
  526 8456  1.302923663911945E-02   2.01397532E+00
  527 8473  1.294561111401982E-02   1.38831043E+00
  528 8483  1.290938780128737E-02   1.74096343E+00
  529 8494  1.287448784180716E-02   2.24508468E-01
  530 8510  1.282661930272845E-02   2.37781471E-01
  531 8523  1.277371731970144E-02   5.05319366E-01
  532 8534  1.274930062873241E-02   2.00872959E+00
  533 8544  1.271564305455706E-02   8.16615159E-01
  534 8555  1.269217650844091E-02   6.41027850E-01
